id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,classification_revenu,revenu_log,anciennete_cat
20,29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,1,1,21,4,Infra & Cloud,Occasionnel,1,8,2,4,3,1,3,3,E_20,3,Non,11 %,Ultra haut revenu,9.208438564686587,Employé expérimenté
21,32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,2,5,5,2,Infra & Cloud,Occasionnel,0,5,1,4,1,2,4,2,E_21,3,Oui,12 %,Bon revenu moyen,8.101374671228582,Employé intermédiaire
22,22,M,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,2,2,16,2,Transformation Digitale,Aucun,0,0,4,4,1,4,2,2,E_22,3,Oui,13 %,Bon revenu moyen,7.984803389734406,Nouvel employé 
23,53,F,15427,Marié(e),Commercial,Senior Manager,2,10,5,8,0,3,2,4,Infra & Cloud,Occasionnel,3,7,1,2,4,4,3,3,E_23,3,Non,16 %,Revenu exceptionnel,9.643939319328119,Employé senior
24,38,M,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,0,3,2,3,Infra & Cloud,Occasionnel,1,2,4,3,1,4,3,3,E_24,3,Oui,11 %,Haut revenu,8.280204233279974,Employé junior
26,24,F,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,1,5,11,2,Autre,Aucun,1,3,1,4,2,3,4,2,E_26,3,Non,18 %,Haut revenu,8.297045149081827,Employé intermédiaire
27,36,M,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,0,4,9,4,Infra & Cloud,Occasionnel,0,3,3,2,1,1,2,3,E_27,4,Non,23 %,Bon revenu moyen,8.133880887949207,Employé intermédiaire
28,34,F,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,0,4,7,4,Infra & Cloud,Occasionnel,2,11,1,3,3,2,3,3,E_28,3,Non,11 %,Ultra haut revenu,9.392245175273795,Employé très expérimenté
30,21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,0,6,15,2,Infra & Cloud,Occasionnel,0,0,3,3,1,4,4,3,E_30,3,Non,14 %,Faible revenu,7.117205503164344,Nouvel employé 
31,34,M,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,0,2,6,1,Transformation Digitale,Occasionnel,1,3,2,3,1,1,3,3,E_31,3,Non,11 %,Bon revenu moyen,7.993282328101591,Employé intermédiaire
33,32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,0,5,16,1,Infra & Cloud,Frequent,1,7,2,1,1,1,2,3,E_33,4,Oui,22 %,Haut revenu,8.273846932784508,Employé expérimenté
35,42,M,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,1,2,8,4,Marketing,Occasionnel,4,2,3,3,2,2,4,3,E_35,3,Non,11 %,Très haut revenu,8.828494129466652,Employé expérimenté
38,46,F,18947,Célibataire,Commercial,Senior Manager,3,21,2,2,0,2,2,4,Marketing,Occasionnel,2,1,2,3,5,1,4,2,E_38,3,Non,12 %,Revenu exceptionnel,9.849453664043642,Employé junior
39,33,M,2496,Célibataire,Consulting,Consultant,4,7,1,1,0,3,2,3,Transformation Digitale,Occasionnel,0,0,3,3,1,4,4,3,E_39,3,Non,11 %,Revenu moyen,7.822845290279774,Nouvel employé 
40,44,M,6465,Marié(e),Consulting,Manager,2,9,4,2,0,5,10,4,Autre,Occasionnel,1,3,4,3,2,4,4,4,E_40,3,Oui,13 %,Très haut revenu,8.774312958285378,Employé intermédiaire
41,30,M,2206,Célibataire,Consulting,Consultant,1,10,10,0,0,5,9,2,Transformation Digitale,Occasionnel,1,8,4,2,1,3,1,3,E_41,3,Non,13 %,Revenu moyen,7.699389406256737,Employé expérimenté
42,39,M,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,1,6,5,3,Entrepreunariat,Occasionnel,0,0,4,3,2,4,3,4,E_42,3,Non,14 %,Revenu moyen,7.643482907077201,Nouvel employé 
45,24,M,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,1,2,1,3,Transformation Digitale,Occasionnel,2,0,2,3,1,4,1,2,E_45,3,Oui,16 %,Revenu moyen,7.738052297689316,Employé junior
46,43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,2,3,2,2,Transformation Digitale,Occasionnel,1,4,4,4,1,3,4,2,E_46,3,Non,12 %,Bon revenu moyen,7.880804344674901,Employé intermédiaire
47,50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,0,2,3,2,Marketing,Occasionnel,0,2,1,2,1,3,3,3,E_47,3,Oui,14 %,Bon revenu moyen,7.895063498091573,Employé junior
49,35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,0,3,2,3,Marketing,Occasionnel,2,2,4,3,1,4,1,3,E_49,3,Non,13 %,Revenu moyen,7.608374474380783,Employé junior
51,36,F,3419,Marié(e),Consulting,Assistant de Direction,1,6,1,1,1,3,5,4,Infra & Cloud,Occasionnel,0,0,2,2,1,1,4,4,E_51,3,Oui,14 %,Bon revenu moyen,8.13739583005665,Nouvel employé 
52,33,F,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,2,3,1,3,Infra & Cloud,Frequent,1,3,3,4,2,1,1,3,E_52,3,Non,19 %,Très haut revenu,8.589885876809678,Employé intermédiaire
53,35,M,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,1,3,4,2,Autre,Occasionnel,0,0,3,3,1,4,3,3,E_53,3,Non,12 %,Bas revenu moyen,7.5766097669730375,Nouvel employé 
54,27,F,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,1,6,2,4,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,E_54,3,Non,13 %,Revenu moyen,7.758760544157663,Nouvel employé 
55,26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,0,2,25,3,Infra & Cloud,Occasionnel,0,1,1,1,1,3,3,2,E_55,3,Non,12 %,Revenu moyen,7.738052297689316,Nouvel employé 
56,27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,0,8,3,Infra & Cloud,Frequent,1,7,4,3,3,3,4,3,E_56,3,Non,15 %,Ultra haut revenu,9.074176947163311,Employé expérimenté
57,30,F,4011,Célibataire,Consulting,Consultant,1,12,12,8,0,2,1,2,Transformation Digitale,Frequent,3,7,3,3,2,4,4,3,E_57,4,Non,23 %,Haut revenu,8.297045149081827,Employé très expérimenté
58,41,F,19545,Marié(e),Consulting,Directeur Technique,1,21,5,3,0,0,12,3,Entrepreunariat,Occasionnel,1,8,2,3,5,3,4,3,E_58,3,Non,12 %,Revenu exceptionnel,9.880525940898782,Employé senior
60,34,M,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,0,2,23,4,Marketing,Aucun,1,7,2,3,2,3,3,3,E_60,4,Non,20 %,Haut revenu,8.427049641563272,Employé expérimenté
61,37,M,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,0,1,19,2,Infra & Cloud,Occasionnel,0,0,2,3,1,2,1,3,E_61,4,Non,21 %,Bon revenu moyen,8.014004994779459,Nouvel employé 
62,46,M,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,0,4,5,4,Marketing,Frequent,0,8,1,3,2,4,3,3,E_62,4,Oui,21 %,Très haut revenu,8.660947155060933,Employé expérimenté
63,35,M,2269,Marié(e),Consulting,Consultant,1,1,1,0,0,2,8,1,Infra & Cloud,Occasionnel,0,1,4,4,1,4,4,3,E_63,3,Non,19 %,Revenu moyen,7.727535110475448,Nouvel employé 
64,48,M,5381,Célibataire,Consulting,Consultant,1,21,1,0,0,2,1,2,Infra & Cloud,Occasionnel,0,0,1,2,3,3,4,3,E_64,3,Oui,13 %,Très haut revenu,8.590815331286851,Nouvel employé 
65,28,M,3441,Célibataire,Consulting,Consultant,1,2,2,2,0,3,5,4,Entrepreunariat,Occasionnel,2,2,3,3,1,3,3,2,E_65,3,Oui,13 %,Bon revenu moyen,8.143807976771484,Employé junior
68,44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,1,2,1,5,Marketing,Occasionnel,1,3,2,3,2,1,3,2,E_68,4,Oui,21 %,Très haut revenu,8.604287898267172,Employé intermédiaire
70,35,M,9884,Marié(e),Consulting,Manager,2,10,4,0,1,3,11,2,Transformation Digitale,Aucun,2,3,3,2,3,1,3,3,E_70,3,Oui,13 %,Ultra haut revenu,9.198773735604718,Employé intermédiaire
72,26,F,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,1,2,23,3,Marketing,Occasionnel,0,0,3,2,2,4,3,2,E_72,3,Oui,19 %,Haut revenu,8.332789468417959,Employé junior
73,33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,0,1,1,2,Infra & Cloud,Frequent,1,12,1,3,3,4,3,3,E_73,3,Oui,12 %,Revenu exceptionnel,9.507403306233716,Employé très expérimenté
74,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,1,3,18,5,Infra & Cloud,Frequent,1,8,2,3,3,1,4,2,E_74,4,Non,22 %,Ultra haut revenu,9.112727543109182,Employé expérimenté
75,35,F,4014,Marié(e),Consulting,Consultant,3,4,2,2,1,3,23,4,Transformation Digitale,Occasionnel,2,2,3,3,1,1,3,3,E_75,3,Oui,15 %,Haut revenu,8.297792626380861,Employé junior
76,31,M,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,1,3,7,4,Infra & Cloud,Occasionnel,1,7,4,3,2,4,4,2,E_76,4,Non,22 %,Très haut revenu,8.68541582383069,Employé expérimenté
77,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,1,4,Infra & Cloud,Occasionnel,0,7,1,2,2,3,3,4,E_77,3,Non,18 %,Très haut revenu,8.69851424787661,Employé expérimenté
78,32,M,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,1,3,Transformation Digitale,Occasionnel,1,8,1,3,2,4,2,3,E_78,4,Oui,22 %,Très haut revenu,8.726318950962243,Employé expérimenté
79,38,F,2406,Célibataire,Consulting,Consultant,1,10,10,3,0,2,29,5,Infra & Cloud,Frequent,1,9,4,3,2,4,4,3,E_79,3,Non,11 %,Revenu moyen,7.786136437783072,Employé expérimenté
80,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,10,5,3,1,2,7,2,Transformation Digitale,Occasionnel,1,8,2,2,5,3,4,2,E_80,3,Oui,12 %,Revenu exceptionnel,9.838468916161679,Employé vétéran
84,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,3,2,8,3,Transformation Digitale,Occasionnel,0,2,4,3,4,3,3,3,E_84,3,Oui,14 %,Revenu exceptionnel,9.59947282546345,Employé intermédiaire
85,36,M,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,0,3,11,3,Infra & Cloud,Frequent,0,3,2,2,2,2,3,3,E_85,3,Non,13 %,Très haut revenu,8.779557455883728,Employé intermédiaire
88,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,1,2,1,3,Transformation Digitale,Frequent,1,2,2,3,1,1,4,2,E_88,3,Non,13 %,Revenu moyen,7.693937325509272,Employé junior
90,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,1,0,9,3,Transformation Digitale,Occasionnel,0,0,4,2,1,3,1,2,E_90,3,Oui,17 %,Bon revenu moyen,8.128290171607052,Nouvel employé 
91,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,0,2,1,1,Infra & Cloud,Frequent,1,3,1,2,2,3,4,2,E_91,3,Non,11 %,Très haut revenu,8.607764889600624,Employé intermédiaire
94,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,1,3,2,3,Infra & Cloud,Occasionnel,0,4,3,3,1,2,4,3,E_94,4,Non,23 %,Bon revenu moyen,7.902487437162855,Employé intermédiaire
95,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,0,4,1,4,Transformation Digitale,Occasionnel,1,0,3,3,1,2,2,3,E_95,3,Non,17 %,Bon revenu moyen,7.824845691026856,Nouvel employé 
96,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,1,3,Infra & Cloud,Occasionnel,0,9,2,3,2,2,2,3,E_96,3,Non,17 %,Très haut revenu,8.73568594451502,Employé expérimenté
97,36,F,3038,Marié(e),Consulting,Consultant,3,5,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0,0,2,4,1,4,2,3,E_97,3,Non,12 %,Bon revenu moyen,8.019283792916793,Nouvel employé 
98,31,F,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,0,2,8,4,Infra & Cloud,Occasionnel,1,8,3,3,2,4,4,3,E_98,4,Non,23 %,Haut revenu,8.39502555744203,Employé très expérimenté
100,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,0,2,1,4,Marketing,Occasionnel,2,8,3,2,2,1,2,3,E_100,3,Non,14 %,Haut revenu,8.369388996647842,Employé très expérimenté
101,45,M,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,0,3,6,4,Autre,Occasionnel,0,0,4,3,3,1,2,4,E_101,3,Oui,14 %,Revenu exceptionnel,9.491450899044924,Nouvel employé 
102,37,M,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,0,3,7,4,Transformation Digitale,Occasionnel,0,2,1,3,3,3,1,4,E_102,3,Non,13 %,Revenu exceptionnel,9.522593098362169,Employé intermédiaire
103,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,1,2,5,2,Transformation Digitale,Occasionnel,0,2,2,3,2,2,4,3,E_103,4,Oui,22 %,Très haut revenu,8.52158353971753,Employé intermédiaire
104,30,M,5126,Marié(e),Consulting,Consultant,1,10,10,8,2,1,1,1,Infra & Cloud,Occasionnel,3,0,4,2,2,4,3,2,E_104,3,Oui,12 %,Très haut revenu,8.5422759717837,Employé expérimenté
105,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,0,3,1,3,Transformation Digitale,Occasionnel,0,4,2,2,1,3,1,3,E_105,3,Non,18 %,Bon revenu moyen,7.958576903813898,Employé intermédiaire
107,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,3,3,6,3,Transformation Digitale,Aucun,1,9,2,1,2,4,4,3,E_107,3,Oui,12 %,Très haut revenu,8.58110651715989,Employé très expérimenté
110,34,M,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,0,2,1,2,Transformation Digitale,Occasionnel,1,3,1,3,2,2,3,3,E_110,3,Non,15 %,Haut revenu,8.372398606513004,Employé intermédiaire
112,56,M,7260,Célibataire,Consulting,Tech Lead,4,10,6,4,0,3,7,3,Infra & Cloud,Occasionnel,0,2,4,1,3,4,1,2,E_112,3,Non,11 %,Très haut revenu,8.890272839380247,Employé intermédiaire
113,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,1,3,2,1,Entrepreunariat,Occasionnel,0,0,3,3,1,1,3,3,E_113,3,Non,13 %,Revenu moyen,7.750614732770409,Nouvel employé 
116,51,M,2075,Marié(e),Consulting,Consultant,3,10,4,2,2,4,9,4,Infra & Cloud,Occasionnel,0,3,4,3,1,4,2,3,E_116,4,Non,23 %,Revenu moyen,7.638198244285779,Employé intermédiaire
117,30,M,4152,Marié(e),Consulting,Manager,1,11,11,10,3,3,2,3,Infra & Cloud,Occasionnel,1,8,3,2,2,4,1,3,E_117,3,Non,19 %,Haut revenu,8.331586243630754,Employé très expérimenté
118,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,0,3,9,2,Transformation Digitale,Occasionnel,4,7,3,2,3,4,4,3,E_118,3,Non,16 %,Ultra haut revenu,9.171599543659752,Employé expérimenté
119,40,M,13503,Marié(e),Consulting,Manager,1,21,5,3,1,3,1,4,Infra & Cloud,Frequent,1,11,3,2,4,2,4,2,E_119,4,Non,22 %,Revenu exceptionnel,9.510741216835738,Employé senior
120,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,0,2,21,4,Marketing,Occasionnel,1,0,3,3,2,4,4,1,E_120,4,Oui,22 %,Très haut revenu,8.601901919343192,Employé expérimenté
121,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,4,4,2,Transformation Digitale,Occasionnel,2,7,3,2,2,2,2,2,E_121,3,Oui,12 %,Très haut revenu,8.558335134747413,Employé très expérimenté
124,46,M,10673,Marié(e),Consulting,Manager,2,21,10,9,1,5,1,3,Transformation Digitale,Frequent,1,5,3,2,3,1,3,2,E_124,3,Oui,13 %,Ultra haut revenu,9.27556615689389,Employé expérimenté
125,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,0,0,6,4,Transformation Digitale,Occasionnel,1,7,2,3,2,3,1,3,E_125,3,Non,16 %,Très haut revenu,8.519390774959724,Employé très expérimenté
126,54,F,13549,Marié(e),Consulting,Directeur Technique,1,16,4,3,1,5,2,4,Entrepreunariat,Occasionnel,0,3,1,3,3,3,1,1,E_126,3,Non,12 %,Revenu exceptionnel,9.514141826307847,Employé intermédiaire
128,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,2,3,2,Autre,Occasionnel,0,2,1,3,2,3,1,2,E_128,4,Non,21 %,Haut revenu,8.517193191416238,Employé junior
129,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,0,3,4,3,Transformation Digitale,Aucun,0,4,2,3,2,3,2,4,E_129,3,Non,15 %,Haut revenu,8.348064228408266,Employé intermédiaire
131,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,10,5,10,0,1,10,4,Transformation Digitale,Occasionnel,1,8,4,3,4,3,3,2,E_131,3,Non,13 %,Revenu exceptionnel,9.537699784080726,Employé vétéran
132,44,M,2042,Marié(e),Consulting,Consultant,4,17,3,2,1,3,23,3,Transformation Digitale,Aucun,1,2,2,3,2,2,3,4,E_132,3,Non,12 %,Revenu moyen,7.622174594817622,Employé junior
133,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,0,3,6,4,Ressources Humaines,Occasionnel,0,2,3,3,1,1,4,3,E_133,4,Oui,22 %,Revenu moyen,7.637234388789473,Employé junior
134,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,0,2,1,1,Infra & Cloud,Occasionnel,0,0,4,3,1,1,4,3,E_134,3,Non,13 %,Bon revenu moyen,7.9919305198524775,Nouvel employé 
137,20,F,2926,Célibataire,Consulting,Consultant,1,1,1,0,0,5,6,3,Infra & Cloud,Frequent,1,0,4,2,1,4,2,3,E_137,3,Oui,18 %,Bon revenu moyen,7.9817332866918855,Nouvel employé 
139,37,M,5163,Divorcé(e),Consulting,Manager,5,17,1,0,1,2,2,2,Infra & Cloud,Aucun,0,0,3,2,2,4,4,4,E_139,3,Non,14 %,Très haut revenu,8.549466751966532,Nouvel employé 
140,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,1,10,3,2,1,3,2,4,Ressources Humaines,Aucun,2,2,3,2,5,4,4,3,E_140,4,Non,21 %,Revenu exceptionnel,9.844002905701236,Employé junior
142,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,0,1,5,3,Marketing,Occasionnel,0,3,3,2,2,3,4,3,E_142,3,Oui,11 %,Très haut revenu,8.656085190282855,Employé intermédiaire
143,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,2,2,2,7,1,Transformation Digitale,Occasionnel,2,1,4,2,1,4,3,3,E_143,3,Non,11 %,Bon revenu moyen,7.969011781106478,Employé junior
144,22,F,2871,Célibataire,Consulting,Consultant,1,1,0,0,0,5,15,3,Transformation Digitale,Occasionnel,0,0,2,3,1,4,3,3,E_144,3,Non,15 %,Bon revenu moyen,7.962763930168115,Nouvel employé 
145,51,F,7484,Célibataire,Consulting,Manager,3,21,13,12,0,1,1,4,Transformation Digitale,Frequent,1,8,1,2,3,1,3,2,E_145,4,Non,20 %,Très haut revenu,8.920656296853728,Employé très expérimenté
147,34,M,6074,Célibataire,Consulting,Consultant,1,9,9,7,0,3,7,3,Infra & Cloud,Frequent,0,6,1,1,2,3,4,3,E_147,4,Oui,24 %,Très haut revenu,8.711937268208748,Employé expérimenté
148,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,21,5,3,0,3,26,3,Ressources Humaines,Aucun,4,4,4,4,4,4,3,3,E_148,3,Oui,12 %,Revenu exceptionnel,9.760136677640245,Employé intermédiaire
150,24,M,2774,Marié(e),Consulting,Consultant,0,6,5,3,1,2,18,1,Infra & Cloud,Occasionnel,1,2,2,3,1,3,3,3,E_150,3,Non,12 %,Bon revenu moyen,7.928406026180535,Employé intermédiaire
151,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,12,1,0,1,3,6,4,Infra & Cloud,Occasionnel,0,0,3,2,2,2,3,3,E_151,3,Non,15 %,Haut revenu,8.41316512099219,Nouvel employé 
152,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,12,5,3,0,3,3,3,Infra & Cloud,Occasionnel,1,3,3,3,3,4,1,3,E_152,3,Non,12 %,Très haut revenu,8.913146539151807,Employé intermédiaire
153,34,F,11631,Célibataire,Consulting,Senior Manager,2,14,11,10,0,6,5,3,Transformation Digitale,Occasionnel,1,8,3,2,3,1,4,3,E_153,3,Non,12 %,Ultra haut revenu,9.3615151997733,Employé très expérimenté
154,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,10,9,7,1,6,11,2,Entrepreunariat,Frequent,2,8,2,3,3,4,3,3,E_154,3,Non,14 %,Ultra haut revenu,9.1838937219612,Employé expérimenté
155,36,F,2835,Divorcé(e),Consulting,Consultant,5,7,1,0,1,2,3,2,Infra & Cloud,Occasionnel,0,0,1,3,1,4,1,3,E_155,4,Non,22 %,Bon revenu moyen,7.950149887652018,Nouvel employé 
159,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,10,7,3,2,23,3,Infra & Cloud,Frequent,0,9,1,1,1,3,3,2,E_159,4,Non,25 %,Bon revenu moyen,7.868636894184167,Employé expérimenté
160,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,8,7,7,1,2,22,2,Marketing,Aucun,0,7,3,3,2,2,1,4,E_160,3,Non,13 %,Très haut revenu,8.72371943690701,Employé expérimenté
161,56,F,4963,Marié(e),Consulting,Assistant de Direction,1,7,5,4,3,2,14,4,Infra & Cloud,Occasionnel,4,3,2,3,1,2,1,3,E_161,3,Oui,18 %,Haut revenu,8.509967146324497,Employé intermédiaire
162,51,M,19537,Célibataire,Consulting,Directeur Technique,7,21,5,3,0,5,6,3,Infra & Cloud,Occasionnel,1,3,1,3,5,3,3,3,E_162,3,Non,13 %,Revenu exceptionnel,9.880116566212887,Employé senior
163,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,12,7,7,0,3,6,4,Infra & Cloud,Occasionnel,1,7,2,1,2,3,2,2,E_163,3,Oui,18 %,Très haut revenu,8.727940222393896,Employé expérimenté
164,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,5,5,4,0,3,6,3,Autre,Occasionnel,4,3,3,2,1,2,3,2,E_164,3,Non,19 %,Revenu moyen,7.7702232041587855,Employé intermédiaire
