id_employee,age,revenu_mensuel,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,revenu_log,augmentation_salaire_precedent(%),frequence_deplacement_encoded,classification_revenu_encoded,anciennete_cat_encoded,genre_F,genre_M,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,heure_supplementaires_Non,heure_supplementaires_Oui
14,35,2426,Consultant,0,6,5,4,1,5,16,3,0,3,1,4,1,2,3,3,3,7.794411205726601,13,1,3,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
15,29,4193,Consultant,0,10,9,5,0,3,15,2,0,8,4,2,2,3,4,3,3,8.341410211461865,12,1,5,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16,31,2911,Assistant de Direction,1,5,5,2,1,1,26,1,4,3,1,3,1,3,4,2,3,7.976595409316577,17,1,4,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,34,2661,Consultant,0,3,2,2,1,2,19,2,1,2,2,3,1,4,3,3,3,7.8868329989550565,11,1,4,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
19,28,2028,Consultant,5,6,4,2,0,4,24,3,0,3,3,2,1,3,2,3,3,7.615298339825815,14,1,3,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,29,9980,Tech Lead,1,10,10,9,1,1,21,4,1,8,2,4,3,1,3,3,3,9.208438564686587,11,1,7,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21,32,3298,Assistant de Direction,0,7,6,2,2,5,5,2,0,5,1,4,1,2,4,2,3,8.101374671228582,12,1,4,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,22,2935,Consultant,1,1,1,0,2,2,16,2,0,0,4,4,1,4,2,2,3,7.984803389734406,13,0,4,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,53,15427,Senior Manager,2,10,5,8,0,3,2,4,3,7,1,2,4,4,3,3,3,9.643939319328119,16,1,8,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,38,3944,Assistant de Direction,5,6,3,2,0,3,2,3,1,2,4,3,1,4,3,3,3,8.280204233279974,11,1,5,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,24,4011,Tech Lead,0,5,4,2,1,5,11,2,1,3,1,4,2,3,4,2,3,8.297045149081827,18,0,5,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,36,3407,Représentant Commercial,7,10,5,3,0,4,9,4,0,3,3,2,1,1,2,3,4,8.133880887949207,23,1,4,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
28,34,11994,Directeur Technique,0,13,12,6,0,4,7,4,2,11,1,3,3,2,3,3,3,9.392245175273795,11,1,7,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
30,21,1232,Assistant de Direction,1,0,0,0,0,6,15,2,0,0,3,3,1,4,4,3,3,7.117205503164344,14,1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
31,34,2960,Assistant de Direction,2,8,4,2,0,2,6,1,1,3,2,3,1,1,3,3,3,7.993282328101591,11,1,4,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
33,32,3919,Assistant de Direction,1,10,10,2,0,5,16,1,1,7,2,1,1,1,2,3,4,8.273846932784508,22,2,5,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35,42,6825,Cadre Commercial,0,10,9,7,1,2,8,4,4,2,3,3,2,2,4,3,3,8.828494129466652,11,1,6,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
38,46,18947,Senior Manager,3,21,2,2,0,2,2,4,2,1,2,3,5,1,4,2,3,9.849453664043642,12,1,8,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39,33,2496,Consultant,4,7,1,1,0,3,2,3,0,0,3,3,1,4,4,3,3,7.822845290279774,11,1,3,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
40,44,6465,Manager,2,9,4,2,0,5,10,4,1,3,4,3,2,4,4,4,3,8.774312958285378,13,1,6,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,30,2206,Consultant,1,10,10,0,0,5,9,2,1,8,4,2,1,3,1,3,3,7.699389406256737,13,1,3,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42,39,2086,Représentant Commercial,3,19,1,0,1,6,5,3,0,0,4,3,2,4,3,4,3,7.643482907077201,14,1,3,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
45,24,2293,Assistant de Direction,2,6,2,0,1,2,1,3,2,0,2,3,1,4,1,2,3,7.738052297689316,16,1,3,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
46,43,2645,Assistant de Direction,1,6,5,3,2,3,2,2,1,4,4,4,1,3,4,2,3,7.880804344674901,12,1,4,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
47,50,2683,Représentant Commercial,1,3,3,2,0,2,3,2,0,2,1,2,1,3,3,3,3,7.895063498091573,14,1,4,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
49,35,2014,Représentant Commercial,1,2,2,2,0,3,2,3,2,2,4,3,1,4,1,3,3,7.608374474380783,13,1,3,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51,36,3419,Assistant de Direction,1,6,1,1,1,3,5,4,0,0,2,2,1,1,4,4,3,8.13739583005665,14,1,4,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
52,33,5376,Cadre Commercial,2,10,5,3,2,3,1,3,1,3,3,4,2,1,1,3,3,8.589885876809678,19,2,6,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
53,35,1951,Consultant,1,1,1,0,1,3,4,2,0,0,3,3,1,4,3,3,3,7.5766097669730375,12,1,2,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,27,2341,Consultant,1,1,1,0,1,6,2,4,0,0,4,3,1,1,4,3,3,7.758760544157663,13,1,3,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55,26,2293,Consultant,1,1,1,0,0,2,25,3,0,1,1,1,1,3,3,2,3,7.738052297689316,12,1,3,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,27,8726,Cadre Commercial,1,9,9,8,0,0,8,3,1,7,4,3,3,3,4,3,3,9.074176947163311,15,2,7,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
57,30,4011,Consultant,1,12,12,8,0,2,1,2,3,7,3,3,2,4,4,3,4,8.297045149081827,23,2,5,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
58,41,19545,Directeur Technique,1,21,5,3,0,0,12,3,1,8,2,3,5,3,4,3,3,9.880525940898782,12,1,8,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
60,34,4568,Cadre Commercial,0,10,9,5,0,2,23,4,1,7,2,3,2,3,3,3,4,8.427049641563272,20,0,5,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
61,37,3022,Assistant de Direction,4,8,1,0,0,1,19,2,0,0,2,3,1,2,1,3,4,8.014004994779459,21,1,4,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62,46,5772,Cadre Commercial,4,14,9,6,0,4,5,4,0,8,1,3,2,4,3,3,4,8.660947155060933,21,2,6,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
63,35,2269,Consultant,1,1,1,0,0,2,8,1,0,1,4,4,1,4,4,3,3,7.727535110475448,19,1,3,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
64,48,5381,Consultant,1,21,1,0,0,2,1,2,0,0,1,2,3,3,4,3,3,8.590815331286851,13,1,6,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65,28,3441,Consultant,1,2,2,2,0,3,5,4,2,2,3,3,1,3,3,2,3,8.143807976771484,13,1,4,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
68,44,5454,Cadre Commercial,5,9,4,3,1,2,1,5,1,3,2,3,2,1,3,2,4,8.604287898267172,21,1,6,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
70,35,9884,Manager,2,10,4,0,1,3,11,2,2,3,3,2,3,1,3,3,3,9.198773735604718,13,0,7,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
72,26,4157,Cadre Commercial,7,5,2,2,1,2,23,3,0,0,3,2,2,4,3,2,3,8.332789468417959,19,1,5,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
73,33,13458,Directeur Technique,1,15,15,14,0,1,1,2,1,12,1,3,3,4,3,3,3,9.507403306233716,12,2,8,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
74,35,9069,Cadre Commercial,1,9,9,8,1,3,18,5,1,8,2,3,3,1,4,2,4,9.112727543109182,22,2,7,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
75,35,4014,Consultant,3,4,2,2,1,3,23,4,2,2,3,3,1,1,3,3,3,8.297792626380861,15,1,5,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
76,31,5915,Consultant,3,10,7,7,1,3,7,4,1,7,4,3,2,4,4,2,4,8.68541582383069,22,1,6,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
77,37,5993,Tech Lead,1,7,7,5,1,2,1,4,0,7,1,2,2,3,3,4,3,8.69851424787661,18,1,6,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78,32,6162,Tech Lead,1,9,9,8,1,3,1,3,1,8,1,3,2,4,2,3,4,8.726318950962243,22,1,6,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
79,38,2406,Consultant,1,10,10,3,0,2,29,5,1,9,4,3,2,4,4,3,3,7.786136437783072,11,2,3,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
80,50,18740,Directeur Technique,5,10,5,3,1,2,7,2,1,8,2,2,5,3,4,2,3,9.838468916161679,12,1,8,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
84,55,14756,Senior Manager,2,21,5,0,3,2,8,3,0,2,4,3,4,3,3,3,3,9.59947282546345,14,1,8,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
85,36,6499,Tech Lead,1,6,6,5,0,3,11,3,0,3,2,2,2,2,3,3,3,8.779557455883728,13,2,6,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
88,35,2194,Assistant de Direction,4,5,3,2,1,2,1,3,1,2,2,3,1,1,4,2,3,7.693937325509272,13,2,3,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
90,36,3388,Assistant de Direction,0,2,1,0,1,0,9,3,0,0,4,2,1,3,1,2,3,8.128290171607052,17,1,4,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
91,59,5473,Cadre Commercial,7,20,4,3,0,2,1,1,1,3,1,2,2,3,4,2,3,8.607764889600624,11,2,6,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
94,29,2703,Assistant de Direction,0,6,5,4,1,3,2,3,0,4,3,3,1,2,4,3,4,7.902487437162855,23,1,4,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,31,2501,Assistant de Direction,1,1,1,1,0,4,1,4,1,0,3,3,1,2,2,3,3,7.824845691026856,17,1,4,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
96,32,6220,Assistant de Direction,1,10,10,4,2,3,1,3,0,9,2,3,2,2,2,3,3,8.73568594451502,17,1,6,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
97,36,3038,Consultant,3,5,1,0,0,3,6,3,0,0,2,4,1,4,2,3,3,8.019283792916793,12,1,4,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
98,31,4424,Tech Lead,1,11,11,7,0,2,8,4,1,8,3,3,2,4,4,3,4,8.39502555744203,23,1,5,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
100,35,4312,Cadre Commercial,0,16,15,13,0,2,1,4,2,8,3,2,2,1,2,3,3,8.369388996647842,14,1,5,4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
101,45,13245,Directeur Technique,4,17,0,0,0,3,6,4,0,0,4,3,3,1,2,4,3,9.491450899044924,14,1,8,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,37,13664,Directeur Technique,4,16,5,2,0,3,7,4,0,2,1,3,3,3,1,4,3,9.522593098362169,13,1,8,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
103,46,5021,Ressources Humaines,8,16,4,2,1,2,5,2,0,2,2,3,2,2,4,3,4,8.52158353971753,22,1,6,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104,30,5126,Consultant,1,10,10,8,2,1,1,1,3,0,4,2,2,4,3,2,3,8.5422759717837,12,1,6,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
105,35,2859,Assistant de Direction,1,6,6,4,0,3,1,3,0,4,2,2,1,3,1,3,3,7.958576903813898,18,1,4,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
107,38,5329,Assistant de Direction,7,17,13,11,3,3,6,3,1,9,2,1,2,4,4,3,3,8.58110651715989,12,0,6,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
